date ; heatTime ; coolTime
9-1-2014 ; 0 ; 0
9-2-2014 ; 0 ; 0
9-3-2014 ; 0 ; 0
9-4-2014 ; 0 ; 0
9-5-2014 ; 0 ; 0
9-6-2014 ; 0 ; 0
9-7-2014 ; 0 ; 0
9-8-2014 ; 0 ; 0
9-9-2014 ; 0 ; 0
9-10-2014 ; 0 ; 0
9-11-2014 ; 0 ; 0
9-12-2014 ; 0 ; 0
9-13-2014 ; 0 ; 0
9-14-2014 ; 0 ; 0
9-15-2014 ; 0 ; 0
9-16-2014 ; 0 ; 0
9-17-2014 ; 0 ; 0
9-18-2014 ; 0 ; 0
9-19-2014 ; 0 ; 0
9-20-2014 ; 0 ; 0
9-21-2014 ; 0 ; 0
9-22-2014 ; 0 ; 0
9-23-2014 ; 0 ; 0
9-24-2014 ; 0 ; 0
9-25-2014 ; 0 ; 0
9-26-2014 ; 0 ; 0
9-27-2014 ; 0 ; 0
9-28-2014 ; 0 ; 0
9-29-2014 ; 0 ; 0
9-30-2014 ; 0 ; 0
10-18-2014 ; 0 ; 0
10-19-2014 ; 0 ; 0
10-20-2014 ; 0 ; 0
10-21-2014 ; 0 ; 0
10-22-2014 ; 0 ; 0
10-23-2014 ; 0 ; 0
10-24-2014 ; 0 ; 0
10-25-2014 ; 0 ; 0
10-26-2014 ; 0 ; 0
10-27-2014 ; 0 ; 0
10-28-2014 ; 0 ; 0
10-29-2014 ; 0 ; 0
10-30-2014 ; 0 ; 0
10-31-2014 ; 0 ; 0
11-1-2014 ; 0 ; 0
11-2-2014 ; 0 ; 0
11-3-2014 ; 0 ; 0
11-4-2014 ; 0 ; 0
11-5-2014 ; 0 ; 0
11-6-2014 ; 0 ; 0
11-7-2014 ; 0 ; 0
11-8-2014 ; 0 ; 0
11-9-2014 ; 0 ; 0
11-10-2014 ; 0 ; 0
11-11-2014 ; 0 ; 0
11-12-2014 ; 0 ; 0
11-13-2014 ; 2784 ; 0
11-14-2014 ; 0 ; 0
11-15-2014 ; 0 ; 0
11-16-2014 ; 6629 ; 0
11-17-2014 ; 2665 ; 0
11-18-2014 ; 5678 ; 0
11-19-2014 ; 4956 ; 0
11-20-2014 ; 0 ; 0
11-21-2014 ; 0 ; 0
11-22-2014 ; 0 ; 0
11-23-2014 ; 0 ; 0
11-24-2014 ; 9861 ; 0
11-25-2014 ; 8525 ; 0
11-26-2014 ; 5618 ; 0
11-27-2014 ; 7771 ; 0
11-28-2014 ; 7318 ; 0
11-29-2014 ; 557 ; 0
11-30-2014 ; 2918 ; 0
12-1-2014 ; 2206 ; 0
12-2-2014 ; 2712 ; 0
